id,"nome","fase","publico","CEV"
324,"Israel","fase","???","Ananindeua"
325,"São Tomé","Kerygma","Adultos","Ananindeua"
326,"Kadosh","Metanoia","Adultos","Ananindeua"
327,"Mãe da Misericórdia","Kerygma","Jovens","Ananindeua"
725,"Pantocrator","Kerygma","Adultos","Ananindeua"
727,"Santo Agostinho","Kerygma","Jovens","Ananindeua"
282,"Mãe de Misericórdia","Kerygma","Jovens","São Brás"
283,"Kadosh","Kerygma","Jovens","São Brás"
298,"Israel","Metanoia","Jovens","São Brás"
300,"Obra Nova","Philotheia","Jovens","São Brás"
301,"Fiat","Kerygma","Adultos","São Brás"
303,"Teshuvá","Philotheia","Casados","São Brás"
484,"Filhas da Imaculada","Koinonia","Adultos","São Brás"
485,"São Rafael","Philotheia","Adultos","São Brás"
487,"Sagrada Família","Kerygma","Casados","São Brás"
920,"Lemuel","Kerygma","Jovens","São Brás"
921,"São Pedro","Kerygma","Adultos","São Brás"
1148,"Bom Pastor","Kerygma","Adultos","São Brás"
1150,"Santa Teresinha","Philotheia","Jovens","São Brás"
964,"Fiat","Kerygma","Adultos","Ananindeua"
1165,"Hesed","Kerygma","Jovens","São Brás"